photon_energy,axion_mass,flux
7.175675675675675436e+00,0.000000000000000000e+00,1.940312432630846740e+00
7.194594594594594383e+00,0.000000000000000000e+00,1.922359841115389267e+00
7.213513513513513331e+00,0.000000000000000000e+00,1.904541771007510764e+00
7.232432432432432279e+00,0.000000000000000000e+00,1.886857740440777365e+00
7.251351351351351227e+00,0.000000000000000000e+00,1.869307259084129536e+00
7.270270270270270174e+00,0.000000000000000000e+00,1.851889828392107029e+00
7.289189189189189122e+00,0.000000000000000000e+00,1.834604941851185389e+00
7.308108108108108070e+00,0.000000000000000000e+00,1.817452085222247105e+00
7.327027027027027017e+00,0.000000000000000000e+00,1.800430736779231378e+00
7.345945945945945965e+00,0.000000000000000000e+00,1.783540367544001359e+00
7.364864864864864913e+00,0.000000000000000000e+00,1.766780441517448175e+00
